"日期","1星","2星","3星","4星","5星"
"2021-09-20","55","3","8","8","54"
"2021-09-21","18","6","5","4","48"
"2021-09-22","3","0","1","0","19"
"2021-09-23","0","1","5","16","98"
"2021-09-24","3","0","4","14","92"
"2021-09-25","5","2","6","15","195"
"2021-09-26","6","0","4","10","50"
"2021-09-27","4","5","3","12","58"
"2021-09-28","0","2","4","11","50"
"2021-09-29","1","0","0","10","40"
"2021-09-30","10","2","5","12","64"
"2021-10-01","1","2","9","24","133"
"2021-10-02","18","5","3","17","161"
"2021-10-03","19","-1","8","11","107"
"2021-10-04","2","1","4","15","107"
"2021-10-05","11","6","4","11","117"
"2021-10-06","14","2","8","15","97"
"2021-10-07","13","3","0","9","82"
"2021-10-08","-2","0","-2","6","66"
"2021-10-09","16","3","6","10","39"
"2021-10-10","10","1","6","13","77"
"2021-10-11","-1","1","0","1","26"
"2021-10-12","2","1","1","2","32"
"2021-10-13","1","-1","1","8","32"
"2021-10-14","1","-2","4","4","64"
"2021-10-15","5","3","3","12","38"
"2021-10-16","15","-1","7","14","130"
"2021-10-17","9","4","4","11","54"
"2021-10-18","4","5","0","4","13"
"2021-10-19","-1","2","1","1","18"
"2021-10-20","2","0","1","-1","25"
"2021-10-21","3","0","3","3","12"
"2021-10-22","3","2","3","2","18"
"2021-10-23","4","3","4","3","78"
"2021-10-24","8","2","5","11","52"
"2021-10-25","0","0","5","1","14"
"2021-10-26","-1","0","0","1","14"
"2021-10-27","6","3","2","2","20"
"2021-10-28","0","0","2","3","34"
"2021-10-29","10","5","6","3","54"
"2021-10-30","3","3","4","6","52"
"2021-10-31","10","1","4","6","32"
"2021-11-01","-1","0","0","2","11"
"2021-11-02","3","0","1","4","10"
"2021-11-03","3","1","-1","2","2"
"2021-11-04","7","-2","-1","3","20"
"2021-11-05","2","-1","2","1","15"
"2021-11-06","9","1","1","14","34"
"2021-11-07","13","3","2","3","26"
"2021-11-08","3","-3","2","-1","9"
"2021-11-09","5","1","-1","1","11"
"2021-11-10","0","-1","0","0","4"
"2021-11-11","9","4","-1","1","12"
"2021-11-12","7","-2","-1","2","14"
"2021-11-13","8","7","7","8","21"
"2021-11-14","-2","1","2","4","27"
"2021-11-15","1","0","0","2","4"
"2021-11-16","2","0","1","-3","19"
"2021-11-17","4","0","2","3","7"
"2021-11-18","0","0","2","-1","9"
"2021-11-19","12","2","1","4","8"
"2021-11-20","11","-1","1","7","27"
"2021-11-21","5","-1","2","5","21"
"2021-11-22","5","1","2","1","8"
"2021-11-23","5","-1","3","0","11"
